week,segment,origin_loc,destination_loc,flow_count,destination_city,origin_city,origin_centroid,destination_centroid
2023-01,2,53,1,1,Adana,Konya,POINT (32.88714497347114 38.69405100533909),POINT (35.82554894766164 37.874874940976625)
2023-01,2,53,47,1,Kayseri,Konya,POINT (32.88714497347114 38.69405100533909),POINT (35.595686034008786 38.267067669049005)
2023-01,2,58,1,1,Adana,Mersin,POINT (34.859415559296465 37.06386143110599),POINT (35.82554894766164 37.874874940976625)
2023-01,2,58,21,1,Bursa,Mersin,POINT (34.859415559296465 37.06386143110599),POINT (29.078993631601847 40.16892946227833)
2023-01,2,58,68,1,Sanliurfa,Mersin,POINT (34.859415559296465 37.06386143110599),POINT (39.75759311603928 37.235060462645706)
2023-01,2,64,1,2,Adana,Osmaniye,POINT (36.118421721446666 37.404147307605996),POINT (35.82554894766164 37.874874940976625)
2023-01,2,68,33,4,Gaziantep,Sanliurfa,POINT (39.75759311603928 37.235060462645706),POINT (37.8963594466952 36.85311038836439)
2023-01,2,68,48,1,Kilis,Sanliurfa,POINT (39.75759311603928 37.235060462645706),POINT (37.10661942935145 36.75605237808039)
2023-01,2,73,40,1,Istanbul,Tekirdag,POINT (27.71629005242506 41.273565776357366),POINT (28.966126985906072 41.040226865149044)
2023-01,2,79,40,1,Istanbul,Yalova,POINT (29.38410522462258 40.63381462246071),POINT (28.966126985906072 41.040226865149044)
2023-01,4,7,5,1,Aksaray,Ankara,POINT (33.43507805455542 40.199201955939934),POINT (33.937132291824796 38.40342884994016)
2023-02,1,1,8,1,Antalya,Adana,POINT (35.82554894766164 37.874874940976625),POINT (30.479442947342882 36.829323916568484)
2023-02,1,1,64,1,Osmaniye,Adana,POINT (35.82554894766164 37.874874940976625),POINT (36.118421721446666 37.404147307605996)
2023-02,1,1,73,1,Tekirdag,Adana,POINT (35.82554894766164 37.874874940976625),POINT (27.71629005242506 41.273565776357366)
2023-02,1,2,68,1,Sanliurfa,Adiyaman,POINT (38.26626822575622 37.74943797377397),POINT (39.75759311603928 37.235060462645706)
2023-02,1,3,53,1,Konya,Afyonkarahisar,POINT (30.243694963429604 38.74724813828608),POINT (32.88714497347114 38.69405100533909)
2023-02,1,7,1,1,Adana,Ankara,POINT (33.43507805455542 40.199201955939934),POINT (35.82554894766164 37.874874940976625)
2023-02,1,7,27,1,Duzce,Ankara,POINT (33.43507805455542 40.199201955939934),POINT (31.180841601318992 40.81697072735935)
2023-02,1,7,49,1,Kirikkale,Ankara,POINT (33.43507805455542 40.199201955939934),POINT (33.551238648832985 39.85254413533492)
2023-02,1,8,20,1,Burdur,Antalya,POINT (30.479442947342882 36.829323916568484),POINT (30.20916069947111 37.62700008041415)
2023-02,1,12,56,1,Manisa,Balikesir,POINT (27.83494517750688 40.461627201359946),POINT (27.763258931735013 38.47889357137842)
2023-02,1,18,68,1,Sanliurfa,Bitlis,POINT (42.509067475079604 38.15673413258248),POINT (39.75759311603928 37.235060462645706)
2023-02,1,21,12,1,Balikesir,Bursa,POINT (29.078993631601847 40.16892946227833),POINT (27.83494517750688 40.461627201359946)
2023-02,1,21,40,1,Istanbul,Bursa,POINT (29.078993631601847 40.16892946227833),POINT (28.966126985906072 41.040226865149044)
2023-02,1,21,54,1,Kutahya,Bursa,POINT (29.078993631601847 40.16892946227833),POINT (30.079147082619098 39.4326918257573)
2023-02,1,23,43,1,Karabuk,Cankiri,POINT (33.60457797364536 40.929901945525124),POINT (32.77416866699312 41.318877649958466)
2023-02,1,27,21,1,Bursa,Duzce,POINT (31.180841601318992 40.81697072735935),POINT (29.078993631601847 40.16892946227833)
2023-02,1,27,40,1,Istanbul,Duzce,POINT (31.180841601318992 40.81697072735935),POINT (28.966126985906072 41.040226865149044)
2023-02,1,33,2,1,Adiyaman,Gaziantep,POINT (37.8963594466952 36.85311038836439),POINT (38.26626822575622 37.74943797377397)
2023-02,1,33,40,1,Istanbul,Gaziantep,POINT (37.8963594466952 36.85311038836439),POINT (28.966126985906072 41.040226865149044)
2023-02,1,33,42,1,Kahramanmaras,Gaziantep,POINT (37.8963594466952 36.85311038836439),POINT (36.55584985318895 38.08131458569416)
2023-02,1,33,68,1,Sanliurfa,Gaziantep,POINT (37.8963594466952 36.85311038836439),POINT (39.75759311603928 37.235060462645706)
2023-02,1,37,33,1,Gaziantep,Hatay,POINT (36.50905200292296 36.28404837457669),POINT (37.8963594466952 36.85311038836439)
2023-02,1,40,7,1,Ankara,Istanbul,POINT (28.966126985906072 41.040226865149044),POINT (33.43507805455542 40.199201955939934)
2023-02,1,40,21,1,Bursa,Istanbul,POINT (28.966126985906072 41.040226865149044),POINT (29.078993631601847 40.16892946227833)
2023-02,1,40,27,1,Duzce,Istanbul,POINT (28.966126985906072 41.040226865149044),POINT (31.180841601318992 40.81697072735935)
2023-02,1,40,50,1,Kirklareli,Istanbul,POINT (28.966126985906072 41.040226865149044),POINT (27.836078103791817 41.620941628461125)
2023-02,1,40,52,2,Kocaeli,Istanbul,POINT (28.966126985906072 41.040226865149044),POINT (29.745013072029078 40.85994893376326)
2023-02,1,40,58,1,Mersin,Istanbul,POINT (28.966126985906072 41.040226865149044),POINT (34.859415559296465 37.06386143110599)
2023-02,1,42,64,1,Osmaniye,Kahramanmaras,POINT (36.55584985318895 38.08131458569416),POINT (36.118421721446666 37.404147307605996)
2023-02,1,43,23,1,Cankiri,Karabuk,POINT (32.77416866699312 41.318877649958466),POINT (33.60457797364536 40.929901945525124)
2023-02,1,47,7,1,Ankara,Kayseri,POINT (35.595686034008786 38.267067669049005),POINT (33.43507805455542 40.199201955939934)
2023-02,1,52,40,1,Istanbul,Kocaeli,POINT (29.745013072029078 40.85994893376326),POINT (28.966126985906072 41.040226865149044)
2023-02,1,55,33,1,Gaziantep,Malatya,POINT (37.94403974442435 38.85260062479882),POINT (37.8963594466952 36.85311038836439)
2023-02,1,58,1,1,Adana,Mersin,POINT (34.859415559296465 37.06386143110599),POINT (35.82554894766164 37.874874940976625)
2023-02,1,58,7,1,Ankara,Mersin,POINT (34.859415559296465 37.06386143110599),POINT (33.43507805455542 40.199201955939934)
2023-02,1,58,44,1,Karaman,Mersin,POINT (34.859415559296465 37.06386143110599),POINT (33.22389241425802 37.17382739757733)
2023-02,1,59,21,1,Bursa,Mugla,POINT (28.496173975983442 37.085974932093436),POINT (29.078993631601847 40.16892946227833)
2023-02,1,62,40,1,Istanbul,Nigde,POINT (34.809327005974254 38.12005572371855),POINT (28.966126985906072 41.040226865149044)
2023-02,1,64,37,1,Hatay,Osmaniye,POINT (36.118421721446666 37.404147307605996),POINT (36.50905200292296 36.28404837457669)
2023-02,1,64,42,1,Kahramanmaras,Osmaniye,POINT (36.118421721446666 37.404147307605996),POINT (36.55584985318895 38.08131458569416)
2023-02,1,64,58,1,Mersin,Osmaniye,POINT (36.118421721446666 37.404147307605996),POINT (34.859415559296465 37.06386143110599)
2023-02,1,68,33,1,Gaziantep,Sanliurfa,POINT (39.75759311603928 37.235060462645706),POINT (37.8963594466952 36.85311038836439)
2023-02,1,68,64,1,Osmaniye,Sanliurfa,POINT (39.75759311603928 37.235060462645706),POINT (36.118421721446666 37.404147307605996)
2023-02,1,78,40,1,Istanbul,Van,POINT (43.97701934329322 39.13596266919875),POINT (28.966126985906072 41.040226865149044)
2023-02,2,1,58,1,Mersin,Adana,POINT (35.82554894766164 37.874874940976625),POINT (34.859415559296465 37.06386143110599)
2023-02,2,1,64,1,Osmaniye,Adana,POINT (35.82554894766164 37.874874940976625),POINT (36.118421721446666 37.404147307605996)
2023-02,2,21,12,1,Balikesir,Bursa,POINT (29.078993631601847 40.16892946227833),POINT (27.83494517750688 40.461627201359946)
2023-02,2,33,37,1,Hatay,Gaziantep,POINT (37.8963594466952 36.85311038836439),POINT (36.50905200292296 36.28404837457669)
2023-02,2,33,48,2,Kilis,Gaziantep,POINT (37.8963594466952 36.85311038836439),POINT (37.10661942935145 36.75605237808039)
2023-02,2,33,64,1,Osmaniye,Gaziantep,POINT (37.8963594466952 36.85311038836439),POINT (36.118421721446666 37.404147307605996)
2023-02,2,33,68,1,Sanliurfa,Gaziantep,POINT (37.8963594466952 36.85311038836439),POINT (39.75759311603928 37.235060462645706)
2023-02,2,37,1,1,Adana,Hatay,POINT (36.50905200292296 36.28404837457669),POINT (35.82554894766164 37.874874940976625)
2023-02,2,37,33,1,Gaziantep,Hatay,POINT (36.50905200292296 36.28404837457669),POINT (37.8963594466952 36.85311038836439)
2023-02,2,37,64,1,Osmaniye,Hatay,POINT (36.50905200292296 36.28404837457669),POINT (36.118421721446666 37.404147307605996)
2023-02,2,37,68,1,Sanliurfa,Hatay,POINT (36.50905200292296 36.28404837457669),POINT (39.75759311603928 37.235060462645706)
2023-02,2,39,53,1,Konya,Isparta,POINT (31.082856743467623 38.29823384232275),POINT (32.88714497347114 38.69405100533909)
2023-02,2,40,52,3,Kocaeli,Istanbul,POINT (28.966126985906072 41.040226865149044),POINT (29.745013072029078 40.85994893376326)
2023-02,2,40,73,2,Tekirdag,Istanbul,POINT (28.966126985906072 41.040226865149044),POINT (27.71629005242506 41.273565776357366)
2023-02,2,47,53,1,Konya,Kayseri,POINT (35.595686034008786 38.267067669049005),POINT (32.88714497347114 38.69405100533909)
2023-02,2,48,33,1,Gaziantep,Kilis,POINT (37.10661942935145 36.75605237808039),POINT (37.8963594466952 36.85311038836439)
2023-02,2,52,40,5,Istanbul,Kocaeli,POINT (29.745013072029078 40.85994893376326),POINT (28.966126985906072 41.040226865149044)
2023-02,2,54,40,1,Istanbul,Kutahya,POINT (30.079147082619098 39.4326918257573),POINT (28.966126985906072 41.040226865149044)
2023-02,2,58,1,1,Adana,Mersin,POINT (34.859415559296465 37.06386143110599),POINT (35.82554894766164 37.874874940976625)
2023-02,2,68,26,1,Diyarbakir,Sanliurfa,POINT (39.75759311603928 37.235060462645706),POINT (39.980783435026474 37.97718871461234)
2023-02,2,68,33,3,Gaziantep,Sanliurfa,POINT (39.75759311603928 37.235060462645706),POINT (37.8963594466952 36.85311038836439)
2023-02,2,68,55,1,Malatya,Sanliurfa,POINT (39.75759311603928 37.235060462645706),POINT (37.94403974442435 38.85260062479882)
2023-02,2,73,40,2,Istanbul,Tekirdag,POINT (27.71629005242506 41.273565776357366),POINT (28.966126985906072 41.040226865149044)
2023-02,4,5,7,1,Ankara,Aksaray,POINT (33.937132291824796 38.40342884994016),POINT (33.43507805455542 40.199201955939934)
2023-02,4,40,79,1,Yalova,Istanbul,POINT (28.966126985906072 41.040226865149044),POINT (29.38410522462258 40.63381462246071)
2023-02,4,43,7,1,Ankara,Karabuk,POINT (32.77416866699312 41.318877649958466),POINT (33.43507805455542 40.199201955939934)
2023-03,1,1,18,1,Bitlis,Adana,POINT (35.82554894766164 37.874874940976625),POINT (42.509067475079604 38.15673413258248)
2023-03,1,1,37,1,Hatay,Adana,POINT (35.82554894766164 37.874874940976625),POINT (36.50905200292296 36.28404837457669)
2023-03,1,1,58,1,Mersin,Adana,POINT (35.82554894766164 37.874874940976625),POINT (34.859415559296465 37.06386143110599)
2023-03,1,1,64,1,Osmaniye,Adana,POINT (35.82554894766164 37.874874940976625),POINT (36.118421721446666 37.404147307605996)
2023-03,1,2,33,1,Gaziantep,Adiyaman,POINT (38.26626822575622 37.74943797377397),POINT (37.8963594466952 36.85311038836439)
2023-03,1,7,40,1,Istanbul,Ankara,POINT (33.43507805455542 40.199201955939934),POINT (28.966126985906072 41.040226865149044)
2023-03,1,7,42,1,Kahramanmaras,Ankara,POINT (33.43507805455542 40.199201955939934),POINT (36.55584985318895 38.08131458569416)
2023-03,1,8,1,1,Adana,Antalya,POINT (30.479442947342882 36.829323916568484),POINT (35.82554894766164 37.874874940976625)
2023-03,1,12,21,2,Bursa,Balikesir,POINT (27.83494517750688 40.461627201359946),POINT (29.078993631601847 40.16892946227833)
2023-03,1,18,26,1,Diyarbakir,Bitlis,POINT (42.509067475079604 38.15673413258248),POINT (39.980783435026474 37.97718871461234)
2023-03,1,18,58,1,Mersin,Bitlis,POINT (42.509067475079604 38.15673413258248),POINT (34.859415559296465 37.06386143110599)
2023-03,1,19,40,1,Istanbul,Bolu,POINT (30.804956202424627 40.336090305807836),POINT (28.966126985906072 41.040226865149044)
2023-03,1,20,8,1,Antalya,Burdur,POINT (30.20916069947111 37.62700008041415),POINT (30.479442947342882 36.829323916568484)
2023-03,1,21,79,1,Yalova,Bursa,POINT (29.078993631601847 40.16892946227833),POINT (29.38410522462258 40.63381462246071)
2023-03,1,23,40,1,Istanbul,Cankiri,POINT (33.60457797364536 40.929901945525124),POINT (28.966126985906072 41.040226865149044)
2023-03,1,24,12,1,Balikesir,Corum,POINT (34.49828320202744 41.161348742841774),POINT (27.83494517750688 40.461627201359946)
2023-03,1,26,68,1,Sanliurfa,Diyarbakir,POINT (39.980783435026474 37.97718871461234),POINT (39.75759311603928 37.235060462645706)
2023-03,1,27,40,1,Istanbul,Duzce,POINT (31.180841601318992 40.81697072735935),POINT (28.966126985906072 41.040226865149044)
2023-03,1,29,76,2,Tunceli,Elazig,POINT (39.2179667290262 38.6648599524512),POINT (39.54735507328951 39.1607503028036)
2023-03,1,31,45,1,Kars,Erzurum,POINT (41.31140104478999 40.08687288525),POINT (43.45843406917627 40.326091321781554)
2023-03,1,31,65,1,Rize,Erzurum,POINT (41.31140104478999 40.08687288525),POINT (40.77424737470464 40.962755167928805)
2023-03,1,33,37,1,Hatay,Gaziantep,POINT (37.8963594466952 36.85311038836439),POINT (36.50905200292296 36.28404837457669)
2023-03,1,33,48,1,Kilis,Gaziantep,POINT (37.8963594466952 36.85311038836439),POINT (37.10661942935145 36.75605237808039)
2023-03,1,33,68,1,Sanliurfa,Gaziantep,POINT (37.8963594466952 36.85311038836439),POINT (39.75759311603928 37.235060462645706)
2023-03,1,37,1,1,Adana,Hatay,POINT (36.50905200292296 36.28404837457669),POINT (35.82554894766164 37.874874940976625)
2023-03,1,37,64,1,Osmaniye,Hatay,POINT (36.50905200292296 36.28404837457669),POINT (36.118421721446666 37.404147307605996)
2023-03,1,40,33,1,Gaziantep,Istanbul,POINT (28.966126985906072 41.040226865149044),POINT (37.8963594466952 36.85311038836439)
2023-03,1,40,42,1,Kahramanmaras,Istanbul,POINT (28.966126985906072 41.040226865149044),POINT (36.55584985318895 38.08131458569416)
2023-03,1,41,52,1,Kocaeli,Izmir,POINT (26.642010615410324 38.30207291826171),POINT (29.745013072029078 40.85994893376326)
2023-03,1,41,58,1,Mersin,Izmir,POINT (26.642010615410324 38.30207291826171),POINT (34.859415559296465 37.06386143110599)
2023-03,1,42,7,1,Ankara,Kahramanmaras,POINT (36.55584985318895 38.08131458569416),POINT (33.43507805455542 40.199201955939934)
2023-03,1,42,33,1,Gaziantep,Kahramanmaras,POINT (36.55584985318895 38.08131458569416),POINT (37.8963594466952 36.85311038836439)
2023-03,1,42,53,1,Konya,Kahramanmaras,POINT (36.55584985318895 38.08131458569416),POINT (32.88714497347114 38.69405100533909)
2023-03,1,42,64,3,Osmaniye,Kahramanmaras,POINT (36.55584985318895 38.08131458569416),POINT (36.118421721446666 37.404147307605996)
2023-03,1,43,23,1,Cankiri,Karabuk,POINT (32.77416866699312 41.318877649958466),POINT (33.60457797364536 40.929901945525124)
2023-03,1,44,58,1,Mersin,Karaman,POINT (33.22389241425802 37.17382739757733),POINT (34.859415559296465 37.06386143110599)
2023-03,1,45,31,1,Erzurum,Kars,POINT (43.45843406917627 40.326091321781554),POINT (41.31140104478999 40.08687288525)
2023-03,1,50,40,1,Istanbul,Kirklareli,POINT (27.836078103791817 41.620941628461125),POINT (28.966126985906072 41.040226865149044)
2023-03,1,52,40,3,Istanbul,Kocaeli,POINT (29.745013072029078 40.85994893376326),POINT (28.966126985906072 41.040226865149044)
2023-03,1,53,7,1,Ankara,Konya,POINT (32.88714497347114 38.69405100533909),POINT (33.43507805455542 40.199201955939934)
2023-03,1,53,44,1,Karaman,Konya,POINT (32.88714497347114 38.69405100533909),POINT (33.22389241425802 37.17382739757733)
2023-03,1,54,21,1,Bursa,Kutahya,POINT (30.079147082619098 39.4326918257573),POINT (29.078993631601847 40.16892946227833)
2023-03,1,56,12,1,Balikesir,Manisa,POINT (27.763258931735013 38.47889357137842),POINT (27.83494517750688 40.461627201359946)
2023-03,1,58,26,1,Diyarbakir,Mersin,POINT (34.859415559296465 37.06386143110599),POINT (39.980783435026474 37.97718871461234)
2023-03,1,58,61,1,Nevsehir,Mersin,POINT (34.859415559296465 37.06386143110599),POINT (34.68771052262313 38.59170809959872)
2023-03,1,58,68,1,Sanliurfa,Mersin,POINT (34.859415559296465 37.06386143110599),POINT (39.75759311603928 37.235060462645706)
2023-03,1,64,1,1,Adana,Osmaniye,POINT (36.118421721446666 37.404147307605996),POINT (35.82554894766164 37.874874940976625)
2023-03,1,64,19,1,Bolu,Osmaniye,POINT (36.118421721446666 37.404147307605996),POINT (30.804956202424627 40.336090305807836)
2023-03,1,64,42,2,Kahramanmaras,Osmaniye,POINT (36.118421721446666 37.404147307605996),POINT (36.55584985318895 38.08131458569416)
2023-03,1,66,5,1,Aksaray,Sakarya,POINT (30.391160075639 40.8505469821281),POINT (33.937132291824796 38.40342884994016)
2023-03,1,68,7,1,Ankara,Sanliurfa,POINT (39.75759311603928 37.235060462645706),POINT (33.43507805455542 40.199201955939934)
2023-03,1,68,8,1,Antalya,Sanliurfa,POINT (39.75759311603928 37.235060462645706),POINT (30.479442947342882 36.829323916568484)
2023-03,1,68,26,1,Diyarbakir,Sanliurfa,POINT (39.75759311603928 37.235060462645706),POINT (39.980783435026474 37.97718871461234)
2023-03,1,68,33,1,Gaziantep,Sanliurfa,POINT (39.75759311603928 37.235060462645706),POINT (37.8963594466952 36.85311038836439)
2023-03,1,68,52,1,Kocaeli,Sanliurfa,POINT (39.75759311603928 37.235060462645706),POINT (29.745013072029078 40.85994893376326)
2023-03,1,74,40,1,Istanbul,Tokat,POINT (36.04707989055985 39.99710525898729),POINT (28.966126985906072 41.040226865149044)
2023-03,1,76,29,2,Elazig,Tunceli,POINT (39.54735507328951 39.1607503028036),POINT (39.2179667290262 38.6648599524512)
2023-03,2,1,64,1,Osmaniye,Adana,POINT (35.82554894766164 37.874874940976625),POINT (36.118421721446666 37.404147307605996)
2023-03,2,12,21,1,Bursa,Balikesir,POINT (27.83494517750688 40.461627201359946),POINT (29.078993631601847 40.16892946227833)
2023-03,2,21,33,1,Gaziantep,Bursa,POINT (29.078993631601847 40.16892946227833),POINT (37.8963594466952 36.85311038836439)
2023-03,2,21,40,2,Istanbul,Bursa,POINT (29.078993631601847 40.16892946227833),POINT (28.966126985906072 41.040226865149044)
2023-03,2,33,53,1,Konya,Gaziantep,POINT (37.8963594466952 36.85311038836439),POINT (32.88714497347114 38.69405100533909)
2023-03,2,33,58,1,Mersin,Gaziantep,POINT (37.8963594466952 36.85311038836439),POINT (34.859415559296465 37.06386143110599)
2023-03,2,33,68,6,Sanliurfa,Gaziantep,POINT (37.8963594466952 36.85311038836439),POINT (39.75759311603928 37.235060462645706)
2023-03,2,37,48,1,Kilis,Hatay,POINT (36.50905200292296 36.28404837457669),POINT (37.10661942935145 36.75605237808039)
2023-03,2,40,21,1,Bursa,Istanbul,POINT (28.966126985906072 41.040226865149044),POINT (29.078993631601847 40.16892946227833)
2023-03,2,40,52,5,Kocaeli,Istanbul,POINT (28.966126985906072 41.040226865149044),POINT (29.745013072029078 40.85994893376326)
2023-03,2,40,73,1,Tekirdag,Istanbul,POINT (28.966126985906072 41.040226865149044),POINT (27.71629005242506 41.273565776357366)
2023-03,2,48,33,1,Gaziantep,Kilis,POINT (37.10661942935145 36.75605237808039),POINT (37.8963594466952 36.85311038836439)
2023-03,2,48,37,1,Hatay,Kilis,POINT (37.10661942935145 36.75605237808039),POINT (36.50905200292296 36.28404837457669)
2023-03,2,52,40,4,Istanbul,Kocaeli,POINT (29.745013072029078 40.85994893376326),POINT (28.966126985906072 41.040226865149044)
2023-03,2,58,1,2,Adana,Mersin,POINT (34.859415559296465 37.06386143110599),POINT (35.82554894766164 37.874874940976625)
2023-03,2,58,68,1,Sanliurfa,Mersin,POINT (34.859415559296465 37.06386143110599),POINT (39.75759311603928 37.235060462645706)
2023-03,2,68,33,4,Gaziantep,Sanliurfa,POINT (39.75759311603928 37.235060462645706),POINT (37.8963594466952 36.85311038836439)
2023-03,2,73,40,1,Istanbul,Tekirdag,POINT (27.71629005242506 41.273565776357366),POINT (28.966126985906072 41.040226865149044)
2023-03,3,19,66,2,Sakarya,Bolu,POINT (30.804956202424627 40.336090305807836),POINT (30.391160075639 40.8505469821281)
2023-03,3,66,19,2,Bolu,Sakarya,POINT (30.391160075639 40.8505469821281),POINT (30.804956202424627 40.336090305807836)
2023-03,4,7,43,1,Karabuk,Ankara,POINT (33.43507805455542 40.199201955939934),POINT (32.77416866699312 41.318877649958466)
2023-04,1,1,58,1,Mersin,Adana,POINT (35.82554894766164 37.874874940976625),POINT (34.859415559296465 37.06386143110599)
2023-04,1,1,64,1,Osmaniye,Adana,POINT (35.82554894766164 37.874874940976625),POINT (36.118421721446666 37.404147307605996)
2023-04,1,5,47,1,Kayseri,Aksaray,POINT (33.937132291824796 38.40342884994016),POINT (35.595686034008786 38.267067669049005)
2023-04,1,7,42,2,Kahramanmaras,Ankara,POINT (33.43507805455542 40.199201955939934),POINT (36.55584985318895 38.08131458569416)
